category,sub_category,company_url
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/champagne-de-vignerons.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.vin-malin.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/mycaviste.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/23vins.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/jecreemacave.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/lecarredesvins.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/coffret-divin.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.chateau.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.vignapart.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/meilleursvinsbio.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/millesima.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.sudivin.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/lechantdescaves.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/lovelybubbly.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.prestigemillesimes.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/cavavincado.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/lesvinotonautes.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/maxbordeaux.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.plus-de-bulles.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/littlewood.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/rouge-blanc.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/cavissima.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/oenocar.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.missandwine.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.cave-champenoise.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/mes-bourgognes.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/excellencedeloire.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.bibfresh.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/lespassionnesduvin.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.nicolas.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.lamaisondesrhums.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/caves-raffault.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/escalesgourmandes.net
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/phileasstravinarius.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/vinocratie.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.vin-subtil.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/festicave.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.chateauonline.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/cave-divin.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.mysteresetbonnesbouteilles.fr
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.vinodomia.com
"Aliments, boissons & tabac",Caviste,https://fr.trustpilot.com/review/www.levinitalien.com
"Aliments, boissons & tabac",Crêperie,https://fr.trustpilot.com/review/aquidelice.fr
"Aliments, boissons & tabac",Fabricant de produits alimentaires,https://fr.trustpilot.com/review/onestchiche.com
"Aliments, boissons & tabac",Fabricant de thé,https://fr.trustpilot.com/review/cbdtoulouse.fr
"Aliments, boissons & tabac",Fabricant de thé,https://fr.trustpilot.com/review/chazette.com
